Analizador lexico:
LexToken(PACKAGE,'package',1,22)
LexToken(LPAREN,'(',1,521)
LexToken(VARIABLE,'valor1',1,522)
LexToken(INT,'int',1,529)
LexToken(COMMA,',',1,532)
LexToken(VARIABLE,'valor2',1,534)
LexToken(INT,'int',1,541)
LexToken(RPAREN,')',1,545)
LexToken(INT,'int',1,547)
LexToken(LBRACE,'{',1,551)
LexToken(VAR,'var',1,556)
LexToken(VARIABLE,'valor4',1,560)
LexToken(INT,'int',1,567)
LexToken(ASSIGN,'=',1,570)
LexToken(INT,0,1,571)
LexToken(INPUT,'fmt.Scanln',1,576)
LexToken(LPAREN,'(',1,586)
LexToken(VARIABLE,'valor4',1,587)
LexToken(RPAREN,')',1,593)
LexToken(PRINT,'fmt.Println',1,598)
LexToken(LPAREN,'(',1,609)
LexToken(VARIABLE,'valor4',1,610)
LexToken(RPAREN,')',1,616)
LexToken(VARIABLE,'valor3',1,621)
LexToken(ASSIGN,'=',1,627)
LexToken(VARIABLE,'valor1',1,628)
LexToken(PLUS,'+',1,634)
LexToken(VARIABLE,'valor2',1,635)
LexToken(PLUS,'+',1,641)
LexToken(VARIABLE,'valor4',1,642)
LexToken(RETURN,'return',1,652)
LexToken(VARIABLE,'valor3',1,659)
LexToken(RBRACE,'}',1,668)
LexToken(FUNCTION,'func',1,673)
LexToken(VARIABLE,'pruebaStruct',1,678)
LexToken(LPAREN,'(',1,690)
LexToken(RPAREN,')',1,691)
LexToken(LBRACE,'{',1,693)
LexToken(TYPE,'type',1,698)
LexToken(VARIABLE,'estructura1',1,703)
LexToken(STRUCT,'struct',1,715)
LexToken(LBRACE,'{',1,721)
LexToken(VARIABLE,'campo1',1,727)
LexToken(STRING,'string',1,734)
LexToken(VARIABLE,'campo2',1,745)
LexToken(INT,'int',1,752)
LexToken(VARIABLE,'campo3',1,760)
LexToken(FLOAT,'float',1,767)
LexToken(RBRACE,'}',1,776)
LexToken(RBRACE,'}',1,780)
LexToken(FUNCTION,'func',1,785)
LexToken(VARIABLE,'pruebaArray',1,790)
LexToken(LPAREN,'(',1,801)
LexToken(RPAREN,')',1,802)
LexToken(LBRACE,'{',1,803)
LexToken(VAR,'var',1,808)
LexToken(VARIABLE,'array',1,812)
LexToken(LBRACKET,'[',1,817)
LexToken(INT,10,1,818)
LexToken(RBRACKET,']',1,820)
LexToken(INT,'int',1,822)
LexToken(VAR,'var',1,829)
LexToken(VARIABLE,'array2',1,833)
LexToken(ASSIGN,'=',1,840)
LexToken(LBRACKET,'[',1,842)
LexToken(INT,10,1,843)
LexToken(RBRACKET,']',1,845)
LexToken(INT,'int',1,847)
LexToken(LBRACE,'{',1,851)
LexToken(INT,10,1,852)
LexToken(COMMA,',',1,854)
LexToken(INT,9,1,855)
LexToken(COMMA,',',1,856)
LexToken(INT,8,1,857)
LexToken(COMMA,',',1,858)
LexToken(INT,7,1,859)
LexToken(RBRACE,'}',1,860)
LexToken(RBRACE,'}',1,864)
LexToken(RBRACE,'}',1,867)
